"screen_on_timestamp_unix","screen_on_timestamp_dt","screen_off_timestamp_unix","screen_off_timestamp_dt","screen_duration","unique_foreground_app_count","foreground_app_count","foreground_app_switch_count","foreground_app_switch_per_hour","foreground_app_duration_sum","unique_foreground_app_duration_max","concentration_ratio","foreground_apps_and_durations","unique_foreground_apps_and_durations","genres_and_durations"
"1773325306","2026-03-12 23:21:46","1773325457","2026-03-12 23:24:17","151","1","1","0","0","147.985","147.985","1","kr.co.nowcom.mobile.afreeca:148.0","kr.co.nowcom.mobile.afreeca:148.0","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:148.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773328195","2026-03-13 0:09:55","1773344525","2026-03-13 4:42:05","16330","4","27","26","5.828377","16059.359","15263.472","0.9504409","kr.co.nowcom.mobile.afreeca:365.6|com.sec.android.app.launcher:1.7|com.kakao.talk:69.5|kr.co.nowcom.mobile.afreeca:403.6|com.kakao.talk:332.3|kr.co.nowcom.mobile.afreeca:38.0|com.sec.android.app.launcher:3.3|kr.co.nowcom.mobile.afreeca:7.2|com.kakao.talk:12.7|kr.co.nowcom.mobile.afreeca:1100.2|com.sec.android.app.launcher:8.8|com.android.chrome:34.7|com.sec.android.app.launcher:6.6|com.android.chrome:4.2|com.android.chrome:151.6|kr.co.nowcom.mobile.afreeca:79.4|com.sec.android.app.launcher:2.2|com.android.chrome:64.9|com.sec.android.app.launcher:1.1|kr.co.nowcom.mobile.afreeca:436.4|com.sec.android.app.launcher:1.5|com.android.chrome:44.2|kr.co.nowcom.mobile.afreeca:247.7|com.sec.android.app.launcher:2.0|com.android.chrome:52.9|com.sec.android.app.launcher:1.7|kr.co.nowcom.mobile.afreeca:12585.4","kr.co.nowcom.mobile.afreeca:15263.5|com.kakao.talk:414.5|com.android.chrome:352.5|com.sec.android.app.launcher:28.9","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:767.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:15263.5|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:28.9|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773345081","2026-03-13 4:51:21","1773345088","2026-03-13 4:51:28","7","1","1","0","0","7.173","7.173","1","kr.co.nowcom.mobile.afreeca:7.2","kr.co.nowcom.mobile.afreeca:7.2","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:7.2|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773355675","2026-03-13 7:47:55","1773372522","2026-03-13 12:28:42","16847","7","41","40","8.573861","16795.234","15115.447","0.8999843","com.sec.android.app.launcher:10.3|com.everytime.v2:6.9|com.sec.android.app.launcher:16.3|com.samsung.android.app.notes:18.3|com.samsung.android.app.notes:83.4|com.sec.android.app.launcher:1.7|com.samsung.android.app.notes:20.8|com.sec.android.app.launcher:3.2|com.android.chrome:73.4|com.samsung.android.app.notes:236.9|com.sec.android.app.launcher:1.6|com.samsung.android.app.notes:1.5|com.sec.android.app.launcher:1.4|com.sec.android.app.launcher:2.0|kr.co.nowcom.mobile.afreeca:1.6|com.sec.android.app.launcher:1.3|kr.co.nowcom.mobile.afreeca:1.0|com.sec.android.app.launcher:4.0|com.samsung.android.app.notes:29.5|com.sec.android.app.launcher:1.5|kr.co.nowcom.mobile.afreeca:6.1|viva.republica.toss:42.0|com.sec.android.app.launcher:4.5|kr.co.nowcom.mobile.afreeca:6824.5|com.sec.android.app.launcher:2.3|viva.republica.toss:43.4|kr.co.nowcom.mobile.afreeca:4.4|com.sec.android.app.launcher:3.0|viva.republica.toss:61.1|com.sec.android.app.launcher:1.5|viva.republica.toss:10.0|com.coupang.mobile:2.2|viva.republica.toss:253.8|kr.co.nowcom.mobile.afreeca:6.3|com.sec.android.app.launcher:2.8|viva.republica.toss:113.2|com.coupang.mobile:31.0|viva.republica.toss:590.7|kr.co.nowcom.mobile.afreeca:7787.3|com.sec.android.app.launcher:4.2|kr.co.nowcom.mobile.afreeca:484.3","kr.co.nowcom.mobile.afreeca:15115.4|viva.republica.toss:1114.3|com.samsung.android.app.notes:390.4|com.android.chrome:73.4|com.sec.android.app.launcher:61.6|com.coupang.mobile:33.2|com.everytime.v2:6.9","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:73.4|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:15115.4|EVENTS:0.0|FINANCE:1114.3|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:61.6|PHOTOGRAPHY:0.0|PRODUCTIVITY:390.4|SHOPPING:33.2|SOCIAL:6.9|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773372525","2026-03-13 12:28:45","1773386342","2026-03-13 16:19:02","13817","4","11","10","2.6060576","13813.969","12948.766","0.9373675","kr.co.nowcom.mobile.afreeca:5479.8|com.sec.android.app.launcher:63.8|kr.co.nowcom.mobile.afreeca:64.8|com.sec.android.app.launcher:20.4|kr.co.nowcom.mobile.afreeca:32.5|com.kakao.talk:33.7|kr.co.nowcom.mobile.afreeca:499.7|com.sec.android.app.launcher:2.2|com.dcinside.app.android:256.9|kr.co.nowcom.mobile.afreeca:6872.0|com.kakao.talk:488.3","kr.co.nowcom.mobile.afreeca:12948.8|com.kakao.talk:522.0|com.dcinside.app.android:256.9|com.sec.android.app.launcher:86.3","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:522.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:12948.8|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:86.3|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:256.9|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773386563","2026-03-13 16:22:43","1773386567","2026-03-13 16:22:47","4","1","1","0","0","3.305","3.305","1","com.sec.android.app.launcher:3.3","com.sec.android.app.launcher:3.3","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:3.3|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773389260","2026-03-13 17:07:40","1773389424","2026-03-13 17:10:24","164","1","1","0","0","4.509","4.509","1","com.sec.android.app.launcher:4.5","com.sec.android.app.launcher:4.5","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:4.5|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773393904","2026-03-13 18:25:04","1773393940","2026-03-13 18:25:40","36","1","1","0","0","34.23","34.23","1","com.sec.android.app.launcher:34.2","com.sec.android.app.launcher:34.2","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:34.2|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773395205","2026-03-13 18:46:45","1773401207","2026-03-13 20:26:47","6002","7","85","84","55.10571","5487.635","2518.471","0.4589356","com.sec.android.app.launcher:11.8|com.sec.android.app.launcher:3.2|com.kakao.talk:4.0|com.sec.android.app.launcher:5.5|com.android.chrome:69.5|com.kakao.talk:105.1|com.sec.android.app.launcher:1.6|com.kakao.talk:34.8|com.sec.android.app.launcher:1.2|com.sec.android.app.launcher:1.5|com.kakao.talk:11.9|com.sec.android.app.launcher:1.4|com.android.chrome:51.6|com.kakao.talk:23.4|com.sec.android.app.launcher:1.7|com.android.chrome:296.6|com.android.chrome:5.7|com.sec.android.app.launcher:2.7|com.android.chrome:178.5|com.sec.android.app.launcher:1.6|com.android.chrome:91.6|com.kakao.talk:97.3|com.sec.android.app.launcher:1.6|com.sec.android.app.launcher:2.0|kr.co.nowcom.mobile.afreeca:15.8|com.sec.android.app.launcher:2.5|kr.co.nowcom.mobile.afreeca:9.3|com.kakao.talk:117.9|com.sec.android.app.launcher:1.1|viva.republica.toss:25.7|com.kakao.talk:1.8|viva.republica.toss:37.4|com.sec.android.app.launcher:2.4|kr.co.nowcom.mobile.afreeca:147.8|com.kakao.talk:100.8|com.sec.android.app.launcher:2.0|com.dcinside.app.android:15.1|com.kakao.talk:62.6|com.sec.android.app.launcher:1.4|com.android.chrome:31.0|com.kakao.talk:46.0|com.sec.android.app.launcher:5.4|com.kakao.talk:15.5|com.sec.android.app.launcher:2.3|kr.co.nowcom.mobile.afreeca:114.9|com.sec.android.app.launcher:1.2|com.kakao.talk:41.9|com.sec.android.app.launcher:1.2|com.kakao.talk:170.8|com.sec.android.app.launcher:1.6|com.kakao.talk:1621.8|com.sec.android.app.launcher:1.8|com.kakao.talk:1.5|com.sec.android.app.launcher:1.5|com.kakao.talk:14.7|kr.co.nowcom.mobile.afreeca:715.6|com.sec.android.app.launcher:2.4|com.android.chrome:41.8|com.sec.android.app.launcher:1.7|com.android.chrome:11.9|kr.co.nowcom.mobile.afreeca:135.5|com.kakao.talk:29.8|com.sec.android.app.launcher:1.7|com.android.chrome:6.3|com.kakao.talk:11.2|com.android.chrome:30.3|com.kakao.talk:5.6|com.android.chrome:1.4|com.sec.android.app.launcher:1.4|com.dcinside.app.android:9.4|kr.co.nowcom.mobile.afreeca:123.1|viva.republica.toss:8.4|com.android.chrome:1.2|viva.republica.toss:181.4|com.sec.android.app.launcher:2.8|com.android.chrome:43.6|kr.co.nowcom.mobile.afreeca:66.1|com.instagram.android:57.6|com.sec.android.app.launcher:1.5|com.instagram.android:16.2|com.sec.android.app.launcher:1.9|com.instagram.android:199.3|com.sec.android.app.launcher:3.3|kr.co.nowcom.mobile.afreeca:148.0|com.sec.android.app.launcher:4.5","com.kakao.talk:2518.5|kr.co.nowcom.mobile.afreeca:1476.2|com.android.chrome:860.9|com.instagram.android:273.1|viva.republica.toss:252.9|com.sec.android.app.launcher:81.6|com.dcinside.app.android:24.5","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:3379.4|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:1476.2|EVENTS:0.0|FINANCE:252.9|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:81.6|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:297.5|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773403212","2026-03-13 21:00:12","1773403404","2026-03-13 21:03:24","192","1","1","0","0","9.765","9.765","1","com.sec.android.app.launcher:9.8","com.sec.android.app.launcher:9.8","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:9.8|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773404033","2026-03-13 21:13:53","1773404096","2026-03-13 21:14:56","63","1","1","0","0","2.441","2.441","1","com.sec.android.app.launcher:2.4","com.sec.android.app.launcher:2.4","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:2.4|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
"1773404957","2026-03-13 21:29:17","1773405081","2026-03-13 21:31:21","124","1","2","1","35.757206","100.679","100.679","1","com.sec.android.app.launcher:99.1|com.sec.android.app.launcher:1.6","com.sec.android.app.launcher:100.7","ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:100.7|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0"
