device_id,screen_on_timestamp_unix,screen_on_timestamp_dt,screen_off_timestamp_unix,screen_off_timestamp_dt,screen_duration,unique_foreground_app_count,foreground_app_count,foreground_app_switch_count,foreground_app_switch_per_hour,foreground_app_duration_sum,unique_foreground_app_duration_max,concentration_ratio,foreground_apps_and_durations,unique_foreground_apps_and_durations,genres_and_durations
e822153c6f617f19,1779074528,2026-05-18 12:22:08,1779074546,2026-05-18 12:22:26,18,2,2,0,0.0,16.821,13.102,0.77890736,com.anthropic.claude:3.7|com.sec.android.app.launcher:13.1,com.sec.android.app.launcher:13.1|com.anthropic.claude:3.7,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:13.1|PHOTOGRAPHY:0.0|PRODUCTIVITY:3.7|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779074016,2026-05-18 12:13:36,1779074238,2026-05-18 12:17:18,222,2,2,1,16.365198,219.979,210.645,0.9575687,com.sec.android.app.launcher:9.3|com.anthropic.claude:210.6,com.anthropic.claude:210.6|com.sec.android.app.launcher:9.3,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:9.3|PHOTOGRAPHY:0.0|PRODUCTIVITY:210.6|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779073882,2026-05-18 12:11:22,1779074007,2026-05-18 12:13:27,125,3,7,6,166.56642,129.678,91.742,0.70746005,com.sec.android.app.launcher:2.6|com.kakao.talk:40.8|com.sec.android.app.launcher:1.5|com.kakao.talk:50.9|com.sec.android.app.launcher:10.3|app.koreatech.ac.kr.smartkoreatech:8.4|com.sec.android.app.launcher:15.1,com.kakao.talk:91.7|com.sec.android.app.launcher:29.5|app.koreatech.ac.kr.smartkoreatech:8.4,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:91.7|DATING:0.0|EDUCATION:8.4|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:29.5|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779072237,2026-05-18 11:43:57,1779073870,2026-05-18 12:11:10,1633,4,82,84,177.51355,1703.532,1139.359,0.66882163,com.android.chrome:17.4|com.kakao.talk:14.8|com.sec.android.app.launcher:6.7|com.anthropic.claude:69.1|com.kakao.talk:3.7|com.sec.android.app.launcher:1.8|com.anthropic.claude:8.6|com.sec.android.app.launcher:1.5|com.kakao.talk:7.6|com.sec.android.app.launcher:19.4|com.anthropic.claude:1.5|com.kakao.talk:12.5|com.sec.android.app.launcher:2.4|com.sec.android.app.launcher:36.4|com.kakao.talk:35.6|com.sec.android.app.launcher:2.2|com.anthropic.claude:6.2|com.sec.android.app.launcher:11.6|com.android.chrome:12.6|com.sec.android.app.launcher:6.3|com.android.chrome:13.2|com.kakao.talk:28.6|com.sec.android.app.launcher:4.5|com.android.chrome:64.9|com.sec.android.app.launcher:1.5|com.kakao.talk:31.0|com.sec.android.app.launcher:1.9|com.android.chrome:7.3|com.kakao.talk:17.7|com.sec.android.app.launcher:3.3|com.android.chrome:36.6|com.sec.android.app.launcher:1.4|com.kakao.talk:31.5|com.sec.android.app.launcher:1.8|com.android.chrome:17.8|com.sec.android.app.launcher:1.4|com.kakao.talk:96.1|com.sec.android.app.launcher:1.8|com.android.chrome:17.8|com.sec.android.app.launcher:1.9|com.android.chrome:2.2|com.sec.android.app.launcher:2.4|com.kakao.talk:14.5|com.sec.android.app.launcher:2.4|com.kakao.talk:14.6|com.sec.android.app.launcher:2.2|com.android.chrome:4.6|com.sec.android.app.launcher:1.3|com.kakao.talk:8.6|com.sec.android.app.launcher:3.1|com.kakao.talk:64.5|com.sec.android.app.launcher:1.9|com.android.chrome:33.3|com.sec.android.app.launcher:1.3|com.kakao.talk:32.6|com.sec.android.app.launcher:1.6|com.android.chrome:24.1|com.sec.android.app.launcher:1.4|com.kakao.talk:18.0|com.sec.android.app.launcher:1.9|com.android.chrome:8.3|com.sec.android.app.launcher:1.4|com.kakao.talk:29.5|com.sec.android.app.launcher:2.3|com.android.chrome:17.0|com.sec.android.app.launcher:1.4|com.kakao.talk:148.7|com.sec.android.app.launcher:2.4|com.android.chrome:5.0|com.sec.android.app.launcher:1.6|com.android.chrome:11.1|com.sec.android.app.launcher:7.6|com.kakao.talk:9.6|com.sec.android.app.launcher:7.8|com.kakao.talk:3.4|com.sec.android.app.launcher:8.8|com.kakao.talk:19.3|com.sec.android.app.launcher:2.8|com.kakao.talk:5.5|com.sec.android.app.launcher:2.2|com.kakao.talk:491.4|com.sec.android.app.launcher:19.8,com.kakao.talk:1139.4|com.android.chrome:293.1|com.sec.android.app.launcher:185.7|com.anthropic.claude:85.3,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:1432.5|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:185.7|PHOTOGRAPHY:0.0|PRODUCTIVITY:85.3|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779072151,2026-05-18 11:42:31,1779072224,2026-05-18 11:43:44,73,1,1,0,0.0,72.629,72.629,1.0,com.android.chrome:72.6,com.android.chrome:72.6,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:72.6|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779072116,2026-05-18 11:41:56,1779072125,2026-05-18 11:42:05,9,1,1,0,0.0,1.867,1.867,1.0,com.android.chrome:1.9,com.android.chrome:1.9,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:1.9|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779072065,2026-05-18 11:41:05,1779072074,2026-05-18 11:41:14,9,1,1,0,0.0,8.399,8.399,1.0,com.android.chrome:8.4,com.android.chrome:8.4,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:8.4|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:0.0|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779069936,2026-05-18 11:05:36,1779072029,2026-05-18 11:40:29,2093,5,10,8,170.27618,169.137,75.812,0.44822836,com.sec.android.app.launcher:1.8|com.varodrt.rider:3.4|com.sec.android.app.launcher:6.8|com.sec.android.app.launcher:2.5|com.varodrt.rider:4.1|com.sec.android.app.launcher:13.6|teamDoppelGanger.SmarterSubway:50.6|com.skt.prod.dialer:5.5|com.sec.android.app.launcher:5.0|com.android.chrome:75.8,com.android.chrome:75.8|teamDoppelGanger.SmarterSubway:50.6|com.sec.android.app.launcher:29.8|com.varodrt.rider:7.5|com.skt.prod.dialer:5.5,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:81.3|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:7.5|MAPS_AND_NAVIGATION:50.6|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:29.8|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779061495,2026-05-18 08:44:55,1779069870,2026-05-18 11:04:30,8375,5,36,30,180.85333,597.169,273.231,0.45754382,com.sec.android.app.launcher:4.9|com.sec.android.app.launcher:1.7|com.nhn.android.search:101.8|com.sec.android.app.launcher:2.7|com.sec.android.app.launcher:5.7|com.varodrt.rider:7.6|com.sec.android.app.launcher:1.9|com.sec.android.app.launcher:1.6|com.nhn.android.search:18.6|com.sec.android.app.launcher:2.8|com.sec.android.app.launcher:3.0|com.varodrt.rider:11.8|com.sec.android.app.launcher:6.3|com.sec.android.app.launcher:3.6|com.varodrt.rider:10.4|com.sec.android.app.launcher:2.5|com.varodrt.rider:4.3|com.sec.android.app.launcher:1.7|com.varodrt.rider:5.7|com.sec.android.app.launcher:13.5|com.anthropic.claude:26.3|com.sec.android.app.launcher:2.4|com.varodrt.rider:3.2|com.sec.android.app.launcher:2.1|com.nhn.android.search:67.0|com.sec.android.app.launcher:1.4|com.varodrt.rider:2.0|com.sec.android.app.launcher:1.5|com.nhn.android.search:2.1|com.sec.android.app.launcher:2.0|com.kakao.talk:3.3|com.sec.android.app.launcher:113.7|com.varodrt.rider:57.8|com.sec.android.app.launcher:40.2|com.varodrt.rider:2.2|com.sec.android.app.launcher:57.9,com.sec.android.app.launcher:273.2|com.nhn.android.search:189.4|com.varodrt.rider:104.8|com.anthropic.claude:26.3|com.kakao.talk:3.3,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:189.4|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:3.3|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:104.8|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:273.2|PHOTOGRAPHY:0.0|PRODUCTIVITY:26.3|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779033243,2026-05-18 00:54:03,1779035632,2026-05-18 01:33:52,2389,3,6,4,409.97607,35.124,23.286,0.6629655,com.sec.android.app.launcher:4.5|com.sec.android.app.launcher:14.5|com.kakao.talk:2.1|com.sec.android.app.launcher:2.3|com.nhn.android.search:9.7|com.sec.android.app.launcher:2.0,com.sec.android.app.launcher:23.3|com.nhn.android.search:9.7|com.kakao.talk:2.1,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:9.7|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:2.1|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:23.3|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779032375,2026-05-18 00:39:35,1779033090,2026-05-18 00:51:30,715,1,1,0,0.0,1.76,1.76,1.0,com.sec.android.app.launcher:1.8,com.sec.android.app.launcher:1.8,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:1.8|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779031094,2026-05-18 00:18:14,1779032289,2026-05-18 00:38:09,1195,2,7,4,24.589787,585.609,568.881,0.97143483,com.sec.android.app.launcher:2.9|com.sec.android.app.launcher:2.6|com.sec.android.app.launcher:5.7|com.anthropic.claude:552.4|com.sec.android.app.launcher:2.4|com.anthropic.claude:16.5|com.sec.android.app.launcher:3.2,com.anthropic.claude:568.9|com.sec.android.app.launcher:16.7,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:0.0|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:16.7|PHOTOGRAPHY:0.0|PRODUCTIVITY:568.9|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
e822153c6f617f19,1779029976,2026-05-17 23:59:36,1779030886,2026-05-18 00:14:46,910,2,7,2,9.844134,731.4,401.782,0.5493328,com.sec.android.app.launcher:6.4|com.sec.android.app.launcher:333.4|com.sec.android.app.launcher:1.9|com.sec.android.app.launcher:1.7|com.kakao.talk:329.6|com.sec.android.app.launcher:3.3|com.sec.android.app.launcher:55.2,com.sec.android.app.launcher:401.8|com.kakao.talk:329.6,ART_AND_DESIGN:0.0|AUTO_AND_VEHICLES:0.0|ANDROID_WEAR:0.0|BEAUTY:0.0|BOOKS_AND_REFERENCE:0.0|BUSINESS:0.0|COMICS:0.0|COMMUNICATION:329.6|DATING:0.0|EDUCATION:0.0|ENTERTAINMENT:0.0|EVENTS:0.0|FINANCE:0.0|FOOD_AND_DRINK:0.0|HEALTH_AND_FITNESS:0.0|HOUSE_AND_HOME:0.0|LIBRARIES_AND_DEMO:0.0|LIFESTYLE:0.0|MAPS_AND_NAVIGATION:0.0|MEDICAL:0.0|MUSIC_AND_AUDIO:0.0|NEWS_AND_MAGAZINES:0.0|PARENTING:0.0|PERSONALIZATION:401.8|PHOTOGRAPHY:0.0|PRODUCTIVITY:0.0|SHOPPING:0.0|SOCIAL:0.0|SPORTS:0.0|TOOLS:0.0|TRAVEL_AND_LOCAL:0.0|VIDEO_PLAYERS:0.0|WATCH_FACE:0.0|WEATHER:0.0|GAME:0.0|GAME_ACTION:0.0|GAME_ADVENTURE:0.0|GAME_ARCADE:0.0|GAME_BOARD:0.0|GAME_CARD:0.0|GAME_CASINO:0.0|GAME_CASUAL:0.0|GAME_EDUCATIONAL:0.0|GAME_MUSIC:0.0|GAME_PUZZLE:0.0|GAME_RACING:0.0|GAME_ROLE_PLAYING:0.0|GAME_SIMULATION:0.0|GAME_SPORTS:0.0|GAME_STRATEGY:0.0|GAME_TRIVIA:0.0|GAME_WORD:0.0|FAMILY:0.0|OTHER:0.0
